bill_quarter,amount_billed,amount_paid,id_client,id_transaction,id_payment_method
2024-06-01,39940,0,1,1,1
2024-06-01,76145,75145,2,2,2
2024-06-01,179217,179217,3,3,2
2024-07-01,52267,51767,4,4,2
2024-06-01,157001,156501,5,5,2
2024-07-01,33428,32428,6,6,1
2024-07-01,75801,0,7,7,2
2024-07-01,17870,16870,8,8,1
2024-06-01,22294,21794,9,9,1
2024-06-01,193307,0,10,10,2
2024-07-01,159093,0,11,11,2
2024-06-01,175018,0,12,12,1
2024-07-01,110754,0,13,13,2
2024-06-01,163283,0,14,14,1
2024-07-01,22161,22161,15,15,2
2024-07-01,196275,195775,16,16,2
2024-06-01,20824,20824,17,17,1
2024-07-01,191634,0,18,18,1
2024-06-01,62979,0,19,19,2
2024-06-01,37472,0,20,20,2
2024-06-01,128381,127881,21,21,1
2024-06-01,26817,0,22,22,2
2024-07-01,147864,147364,23,23,1
2024-06-01,153404,153404,24,24,2
2024-07-01,14710,0,25,25,1
2024-06-01,49512,49012,26,26,2
2024-07-01,40302,40302,27,27,2
2024-07-01,27833,27833,28,28,2
2024-07-01,30813,0,29,29,1
2024-07-01,134884,134884,30,30,2
2024-07-01,29482,28982,31,31,1
2024-06-01,158030,158030,32,32,1
2024-07-01,196509,196009,33,33,2
2024-06-01,69026,68526,34,34,2
2024-06-01,166287,0,35,35,1
2024-06-01,179265,178265,36,36,1
2024-07-01,98069,98069,37,37,1
2024-06-01,153650,153150,38,38,1
2024-06-01,87402,0,39,39,2
2024-07-01,97457,96457,40,40,1
2024-07-01,145586,0,41,41,2
2024-07-01,163925,163425,42,42,1
2024-07-01,186218,186218,43,43,1
2024-07-01,160000,159000,44,44,2
2024-07-01,94554,94554,45,45,2
2024-07-01,153659,0,46,46,2
2024-06-01,165021,0,47,47,2
2024-07-01,115066,0,48,48,2
2024-06-01,161529,0,49,49,2
2024-07-01,167924,167924,50,50,1
2024-06-01,147991,0,51,51,2
2024-07-01,124048,124048,52,52,1
2024-07-01,138162,0,53,53,1
2024-06-01,161137,161137,54,54,1
2024-06-01,35669,0,55,55,2
2024-07-01,68367,0,56,56,1
2024-07-01,58242,0,57,57,1
2024-07-01,114319,113319,58,58,1
2024-06-01,37708,37708,59,59,2
2024-07-01,54969,0,60,60,1
2024-06-01,51911,0,61,61,2
2024-06-01,45733,45233,62,62,1
2024-07-01,100426,0,63,63,1
2024-07-01,32072,31572,64,64,1
2024-07-01,123720,0,65,65,1
2024-06-01,17171,0,66,66,2
2024-06-01,57259,0,67,67,2
2024-07-01,197548,0,68,68,2
2024-06-01,93635,0,69,69,2
2024-07-01,58585,58585,70,70,2
2024-06-01,87244,0,71,71,2
2024-06-01,55572,0,72,72,1
2024-06-01,51213,50713,73,73,1
2024-06-01,129980,129480,74,74,1
2024-06-01,42157,41657,75,75,2
2024-06-01,127084,0,76,76,2
2024-06-01,191436,0,77,77,1
2024-06-01,78561,78561,78,78,1
2024-06-01,163844,162844,79,79,1
2024-07-01,80735,0,80,80,1
2024-06-01,158138,0,81,81,2
2024-06-01,102093,101593,82,82,2
2024-07-01,104241,103741,83,83,2
2024-06-01,41300,0,84,84,2
2024-06-01,90456,0,85,85,2
2024-07-01,165402,165402,86,86,1
2024-06-01,107189,106689,87,87,1
2024-07-01,23411,22411,88,88,1
2024-06-01,11359,11359,89,89,2
2024-06-01,79808,0,90,90,1
2024-07-01,43148,42648,91,91,1
2024-06-01,102468,0,92,92,2
2024-06-01,116488,0,93,93,2
2024-07-01,61920,0,94,94,2
2024-07-01,142010,141510,95,95,1
2024-06-01,39792,39792,96,96,2
2024-07-01,88189,0,97,97,2
2024-06-01,179739,0,98,98,1
2024-06-01,106611,0,99,99,2
2024-06-01,142787,141787,100,100,2
